161,Fe-52,F,6.0E-01,5.20E-09,3.56E-09,1.54E-09,8.94E-10,4.89E-10,3.88E-10,5.01E-10
162,Fe-52,M,2.0E-01,5.82E-09,4.11E-09,1.94E-09,1.22E-09,7.34E-10,6.01E-10,7.33E-10
163,Fe-52,S,2.0E-02,6.00E-09,4.23E-09,2.01E-09,1.28E-09,7.71E-10,6.34E-10,7.70E-10
164,Fe-55,F,6.0E-01,4.11E-09,3.19E-09,2.19E-09,1.41E-09,9.43E-10,7.82E-10,9.03E-10
165,Fe-55,M,2.0E-01,1.90E-09,1.44E-09,9.87E-10,6.22E-10,4.39E-10,3.88E-10,4.37E-10
166,Fe-55,S,2.0E-02,9.85E-10,8.36E-10,4.96E-10,2.91E-10,2.02E-10,1.83E-10,2.08E-10
167,Fe-59,F,6.0E-01,2.04E-08,1.31E-08,7.10E-09,4.43E-09,2.65E-09,2.23E-09,2.68E-09
168,Fe-59,M,2.0E-01,1.84E-08,1.33E-08,7.87E-09,5.50E-09,4.58E-09,3.70E-09,4.12E-09
169,Fe-59,S,2.0E-02,1.71E-08,1.34E-08,8.10E-09,5.79E-09,5.04E-09,4.03E-09,4.45E-09
170,Fe-60,F,6.0E-01,4.52E-07,4.07E-07,3.70E-07,3.34E-07,3.05E-07,2.90E-07,2.97E-07
171,Fe-60,M,2.0E-01,2.07E-07,1.81E-07,1.66E-07,1.47E-07,1.44E-07,1.44E-07,1.45E-07
172,Fe-60,S,2.0E-02,9.99E-08,9.41E-08,7.18E-08,5.50E-08,5.24E-08,5.18E-08,5.31E-08
173,Co-55,F,6.0E-01,2.17E-09,1.85E-09,9.01E-10,5.54E-10,3.12E-10,2.67E-10,3.25E-10
174,Co-55,M,2.0E-01,4.10E-09,3.12E-09,1.53E-09,9.83E-10,6.14E-10,4.98E-10,5.99E-10
175,Co-55,S,2.0E-02,4.61E-09,3.36E-09,1.65E-09,1.06E-09,6.61E-10,5.36E-10,6.45E-10
176,Co-56,F,6.0E-01,1.38E-08,1.05E-08,5.57E-09,3.57E-09,2.24E-09,1.86E-09,2.21E-09
177,Co-56,M,2.0E-01,2.52E-08,2.06E-08,1.09E-08,7.37E-09,5.75E-09,4.81E-09,5.40E-09
178,Co-56,S,2.0E-02,2.88E-08,2.42E-08,1.47E-08,9.97E-09,7.93E-09,6.64E-09,7.38E-09
